iShares Russell 1000 ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SHW","SHERWIN WILLIAMS","Materials","Equity","52,417,848.00","0.12","52,417,848.00","164,836.00","318.00","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","52,144,058.40","0.12","52,144,058.40","118,790.00","438.96","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","51,773,489.67","0.12","51,773,489.67","214,179.00","241.73","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","51,439,349.22","0.12","51,439,349.22","523,929.00","98.18","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","50,733,502.15","0.12","50,733,502.15","287,915.00","176.21","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","50,735,137.88","0.12","50,735,137.88","187,894.00","270.02","United States","NYSE","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","50,550,681.96","0.12","50,550,681.96","380,997.00","132.68","United States","NASDAQ","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","49,984,366.75","0.12","49,984,366.75","477,725.00","104.63","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","49,839,108.76","0.12","49,839,108.76","226,562.00","219.98","United States","NASDAQ","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","49,468,379.10","0.11","49,468,379.10","162,218.00","304.95","United States","NYSE","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","49,329,644.95","0.11","49,329,644.95","180,305.00","273.59","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","48,783,110.88","0.11","48,783,110.88","110,672.00","440.79","United States","NYSE","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","48,759,848.28","0.11","48,759,848.28","572,702.00","85.14","United States","NYSE","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","48,321,386.18","0.11","48,321,386.18","149,537.00","323.14","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","47,587,293.16","0.11","47,587,293.16","158,234.00","300.74","United States","NYSE","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","47,545,936.00","0.11","47,545,936.00","133,556.00","356.00","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","47,206,870.00","0.11","47,206,870.00","223,000.00","211.69","United States","NYSE","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","46,930,578.12","0.11","46,930,578.12","177,579.00","264.28","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","46,715,469.84","0.11","46,715,469.84","643,996.00","72.54","United States","NYSE","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","46,578,752.70","0.11","46,578,752.70","158,674.00","293.55","United States","NYSE","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","46,491,840.00","0.11","46,491,840.00","161,430.00","288.00","United States","NYSE","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","46,158,256.00","0.11","46,158,256.00","465,305.00","99.20","United States","NYSE","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","45,954,126.00","0.11","45,954,126.00","39,378.00","1,167.00","United States","NYSE","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","45,681,055.98","0.11","45,681,055.98","1,385,534.00","32.97","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","45,439,388.39","0.11","45,439,388.39","154,561.00","293.99","United States","NYSE","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","45,408,653.96","0.11","45,408,653.96","1,662,103.00","27.32","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","45,050,029.12","0.10","45,050,029.12","100,612.00","447.76","United States","NYSE","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","44,468,809.19","0.10","44,468,809.19","244,751.00","181.69","United States","NYSE","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","44,134,793.25","0.10","44,134,793.25","483,775.00","91.23","United States","NYSE","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","43,591,826.16","0.10","43,591,826.16","231,048.00","188.67","United States","NYSE","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","43,549,687.44","0.10","43,549,687.44","368,067.00","118.32","United States","NASDAQ","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","42,707,546.78","0.10","42,707,546.78","244,967.00","174.34","United States","NASDAQ","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","42,674,229.18","0.10","42,674,229.18","706,761.00","60.38","United States","NASDAQ","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY INC","Energy","Equity","42,619,919.76","0.10","42,619,919.76","151,586.00","281.16","United States","NYSE","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","42,432,162.84","0.10","42,432,162.84","899,749.00","47.16","United States","NYSE","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","42,362,689.60","0.10","42,362,689.60","130,427.00","324.80","United States","NYSE","USD","1.00","USD","-"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","41,444,879.36","0.10","41,444,879.36","50,122.00","826.88","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","41,208,470.16","0.10","41,208,470.16","482,196.00","85.46","United States","NYSE","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","40,775,793.34","0.09","40,775,793.34","655,454.00","62.21","United States","NYSE","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","40,750,375.05","0.09","40,750,375.05","260,469.00","156.45","United States","NASDAQ","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","40,449,423.30","0.09","40,449,423.30","11,895.00","3,400.54","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","39,482,783.43","0.09","39,482,783.43","39,482,783.00","1.00","United States","-","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","39,442,550.40","0.09","39,442,550.40","446,688.00","88.30","United States","NYSE","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","39,347,587.37","0.09","39,347,587.37","180,817.00","217.61","United States","NYSE","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","39,047,360.55","0.09","39,047,360.55","324,179.00","120.45","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","38,782,677.92","0.09","38,782,677.92","222,416.00","174.37","United States","NYSE","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","38,447,955.36","0.09","38,447,955.36","185,712.00","207.03","United States","NYSE","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","38,220,339.15","0.09","38,220,339.15","608,895.00","62.77","United States","NYSE","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","37,923,311.40","0.09","37,923,311.40","819,078.00","46.30","United States","NASDAQ","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","37,235,489.20","0.09","37,235,489.20","540,428.00","68.90","United States","NASDAQ","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","37,180,871.70","0.09","37,180,871.70","297,566.00","124.95","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","37,044,128.42","0.09","37,044,128.42","314,093.00","117.94","United States","NYSE","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","37,039,745.76","0.09","37,039,745.76","335,262.00","110.48","United States","NYSE","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","36,931,421.31","0.09","36,931,421.31","33,019.00","1,118.49","United States","NASDAQ","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","36,917,309.01","0.09","36,917,309.01","151,059.00","244.39","United States","NYSE","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","36,836,651.43","0.09","36,836,651.43","833,597.00","44.19","United States","NYSE","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","36,684,927.30","0.09","36,684,927.30","319,277.00","114.90","United States","NYSE","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","36,589,159.60","0.08","36,589,159.60","179,711.00","203.60","United States","NASDAQ","USD","1.00","USD","-"
"AU","ANGLOGOLD ASHANTI PLC","Materials","Equity","36,444,665.88","0.08","36,444,665.88","360,054.00","101.22","South Africa","NYSE","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","36,436,042.98","0.08","36,436,042.98","241,011.00","151.18","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","36,380,544.48","0.08","36,380,544.48","440,816.00","82.53","United States","NASDAQ","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","36,258,785.70","0.08","36,258,785.70","169,394.00","214.05","United States","NYSE","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","36,147,210.24","0.08","36,147,210.24","151,828.00","238.08","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","36,020,575.36","0.08","36,020,575.36","497,728.00","72.37","United States","NASDAQ","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","35,871,377.41","0.08","35,871,377.41","164,329.00","218.29","United States","NYSE","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","35,867,121.85","0.08","35,867,121.85","236,201.00","151.85","United States","NYSE","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","35,779,998.96","0.08","35,779,998.96","122,854.00","291.24","United States","NYSE","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","35,605,802.04","0.08","35,605,802.04","721,788.00","49.33","United States","NASDAQ","USD","1.00","USD","-"
"FIX","COMFORT SYSTEMS USA INC","Industrials","Equity","35,217,171.50","0.08","35,217,171.50","24,850.00","1,417.19","United States","NYSE","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","34,741,520.50","0.08","34,741,520.50","31,090.00","1,117.45","United States","NYSE","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","34,476,002.33","0.08","34,476,002.33","111,353.00","309.61","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","34,176,273.12","0.08","34,176,273.12","423,288.00","80.74","United States","NASDAQ","USD","1.00","USD","-"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","33,602,839.85","0.08","33,602,839.85","2,374,759.00","14.15","Brazil","NYSE","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","33,294,934.75","0.08","33,294,934.75","410,795.00","81.05","United States","NYSE","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","33,034,829.16","0.08","33,034,829.16","45,124.00","732.09","United States","NYSE","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","32,280,639.27","0.07","32,280,639.27","144,633.00","223.19","United States","NYSE","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","32,249,060.10","0.07","32,249,060.10","56,622.00","569.55","United States","NASDAQ","USD","1.00","USD","-"
"COHR","COHERENT CORP","Information Technology","Equity","32,155,893.28","0.07","32,155,893.28","124,558.00","258.16","United States","NYSE","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","32,108,858.00","0.07","32,108,858.00","2,768,005.00","11.60","United States","NYSE","USD","1.00","USD","-"
"FERG","FERGUSON ENTERPRISES INC","Industrials","Equity","31,927,442.47","0.07","31,927,442.47","135,821.00","235.07","United States","NYSE","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","31,920,184.32","0.07","31,920,184.32","298,208.00","107.04","United States","NYSE","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","31,581,534.98","0.07","31,581,534.98","204,398.00","154.51","United States","NYSE","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","31,528,953.06","0.07","31,528,953.06","500,698.00","62.97","United States","NYSE","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","31,522,554.00","0.07","31,522,554.00","112,440.00","280.35","United States","NYSE","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","31,107,294.09","0.07","31,107,294.09","558,379.00","55.71","United States","NYSE","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","31,071,743.67","0.07","31,071,743.67","199,063.00","156.09","United States","NYSE","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","31,050,858.20","0.07","31,050,858.20","936,395.00","33.16","United States","NYSE","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","31,044,868.72","0.07","31,044,868.72","465,022.00","66.76","United States","NYSE","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","30,781,001.48","0.07","30,781,001.48","121,228.00","253.91","United States","NYSE","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","30,449,391.86","0.07","30,449,391.86","671,579.00","45.34","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","30,245,864.04","0.07","30,245,864.04","321,286.00","94.14","United States","NASDAQ","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","30,218,615.28","0.07","30,218,615.28","641,448.00","47.11","United States","NASDAQ","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","30,187,782.97","0.07","30,187,782.97","96,167.00","313.91","United States","NYSE","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","29,928,228.65","0.07","29,928,228.65","413,659.00","72.35","United States","NYSE","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","29,724,263.87","0.07","29,724,263.87","257,509.00","115.43","United States","NYSE","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","29,340,672.62","0.07","29,340,672.62","80,381.00","365.02","United States","NYSE","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","29,073,918.80","0.07","29,073,918.80","355,340.00","81.82","United States","NYSE","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","28,978,551.18","0.07","28,978,551.18","384,229.00","75.42","United States","NYSE","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","28,796,509.40","0.07","28,796,509.40","210,809.00","136.60","United States","NYSE","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","28,741,776.70","0.07","28,741,776.70","90,142.00","318.85","United States","NASDAQ","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","28,579,288.40","0.07","28,579,288.40","65,860.00","433.94","United States","NYSE","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","28,333,970.78","0.07","28,333,970.78","164,293.00","172.46","United States","NYSE","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","27,947,695.36","0.06","27,947,695.36","395,188.00","70.72","United States","NYSE","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","27,904,766.00","0.06","27,904,766.00","322,040.00","86.65","United States","NASDAQ","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","27,855,772.21","0.06","27,855,772.21","1,567,573.00","17.77","United States","NYSE","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","27,733,323.31","0.06","27,733,323.31","333,053.00","83.27","United States","NYSE","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","27,694,436.08","0.06","27,694,436.08","50,836.00","544.78","United States","NYSE","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","27,450,000.90","0.06","27,450,000.90","115,506.00","237.65","United States","NYSE","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","27,372,451.80","0.06","27,372,451.80","76,485.00","357.88","United States","NASDAQ","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","27,229,529.14","0.06","27,229,529.14","231,583.00","117.58","United States","NYSE","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","27,180,010.66","0.06","27,180,010.66","158,521.00","171.46","United States","NASDAQ","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","27,169,955.44","0.06","27,169,955.44","140,138.00","193.88","United States","NASDAQ","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","27,151,246.97","0.06","27,151,246.97","199,363.00","136.19","United States","NYSE","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","26,722,206.84","0.06","26,722,206.84","222,019.00","120.36","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","26,620,114.67","0.06","26,620,114.67","222,149.00","119.83","United States","NASDAQ","USD","1.00","USD","-"
"RBLX","ROBLOX CORP CLASS A","Communication","Equity","26,520,411.78","0.06","26,520,411.78","441,198.00","60.11","United States","NYSE","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","26,313,198.08","0.06","26,313,198.08","94,016.00","279.88","United States","NYSE","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","26,149,068.00","0.06","26,149,068.00","132,066.00","198.00","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","26,130,970.16","0.06","26,130,970.16","187,064.00","139.69","United States","NYSE","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","26,068,069.62","0.06","26,068,069.62","307,479.00","84.78","United States","NYSE","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","25,848,187.75","0.06","25,848,187.75","129,325.00","199.87","United States","NASDAQ","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","25,626,642.90","0.06","25,626,642.90","429,257.00","59.70","United States","NYSE","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","25,522,750.40","0.06","25,522,750.40","198,158.00","128.80","United States","NYSE","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","25,369,400.76","0.06","25,369,400.76","42,482.00","597.18","United States","NYSE","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","25,333,134.12","0.06","25,333,134.12","259,614.00","97.58","United States","NYSE","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","25,117,630.47","0.06","25,117,630.47","340,209.00","73.83","United States","NYSE","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","24,739,400.00","0.06","24,739,400.00","377,125.00","65.60","United States","NASDAQ","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","24,544,292.36","0.06","24,544,292.36","253,714.00","96.74","United States","NASDAQ","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","24,258,230.52","0.06","24,258,230.52","340,897.00","71.16","United States","NYSE","USD","1.00","USD","-"
"INSM","INSMED INC","Health Care","Equity","24,194,598.22","0.06","24,194,598.22","148,954.00","162.43","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","23,708,492.40","0.06","23,708,492.40","31,348.00","756.30","United States","NYSE","USD","1.00","USD","-"
"RKLB","ROCKET LAB CORP","Industrials","Equity","23,610,610.27","0.05","23,610,610.27","348,599.00","67.73","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","23,351,912.19","0.05","23,351,912.19","948,879.00","24.61","United States","NYSE","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","23,320,262.16","0.05","23,320,262.16","201,942.00","115.48","United States","NYSE","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","23,297,068.67","0.05","23,297,068.67","103,963.00","224.09","United States","NYSE","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","23,227,796.92","0.05","23,227,796.92","917,732.00","25.31","United States","NASDAQ","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","23,080,329.78","0.05","23,080,329.78","1,346,577.00","17.14","United States","NYSE","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","22,991,575.95","0.05","22,991,575.95","326,817.00","70.35","United States","NASDAQ","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","22,966,284.80","0.05","22,966,284.80","109,280.00","210.16","United States","NYSE","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","22,961,557.78","0.05","22,961,557.78","384,101.00","59.78","United States","NYSE","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","22,782,718.75","0.05","22,782,718.75","596,875.00","38.17","United States","NYSE","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","22,655,149.36","0.05","22,655,149.36","235,672.00","96.13","United States","NASDAQ","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","22,558,730.88","0.05","22,558,730.88","1,428,672.00","15.79","United States","NASDAQ","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","22,266,019.25","0.05","22,266,019.25","145,825.00","152.69","United States","NYSE","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","22,222,800.73","0.05","22,222,800.73","53,833.00","412.81","United States","NASDAQ","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","22,029,597.87","0.05","22,029,597.87","282,757.00","77.91","United States","NYSE","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","21,826,277.40","0.05","21,826,277.40","147,435.00","148.04","United States","NYSE","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","21,808,362.38","0.05","21,808,362.38","440,662.00","49.49","United States","NYSE","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","21,803,680.82","0.05","21,803,680.82","280,037.00","77.86","United States","NYSE","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","21,688,764.70","0.05","21,688,764.70","209,959.00","103.30","United States","NYSE","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","21,523,494.03","0.05","21,523,494.03","113,899.00","188.97","United States","NYSE","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","21,506,751.30","0.05","21,506,751.30","74,174.00","289.95","United States","Cboe BZX","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","21,502,940.58","0.05","21,502,940.58","343,827.00","62.54","United States","NASDAQ","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","21,400,545.84","0.05","21,400,545.84","70,341.00","304.24","United States","NYSE","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","21,376,573.92","0.05","21,376,573.92","380,637.00","56.16","United States","NASDAQ","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","21,372,871.68","0.05","21,372,871.68","191,376.00","111.68","United States","NYSE","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","21,341,695.95","0.05","21,341,695.95","103,505.00","206.19","United States","NYSE","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","21,274,137.94","0.05","21,274,137.94","230,714.00","92.21","United States","NASDAQ","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","21,124,827.12","0.05","21,124,827.12","763,732.00","27.66","United States","NYSE","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","21,042,247.80","0.05","21,042,247.80","173,530.00","121.26","United States","NYSE","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","20,958,625.80","0.05","20,958,625.80","506,247.00","41.40","United States","NYSE","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","20,950,057.10","0.05","20,950,057.10","228,463.00","91.70","United States","NASDAQ","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","20,946,208.80","0.05","20,946,208.80","627,132.00","33.40","United States","NASDAQ","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","20,925,239.88","0.05","20,925,239.88","816,117.00","25.64","United States","NYSE","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","20,775,953.12","0.05","20,775,953.12","119,912.00","173.26","United States","NYSE","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","20,694,272.00","0.05","20,694,272.00","146,560.00","141.20","United States","NYSE","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","20,622,494.64","0.05","20,622,494.64","304,436.00","67.74","United States","NASDAQ","USD","1.00","USD","-"
"FTI","TECHNIPFMC PLC","Energy","Equity","20,530,958.74","0.05","20,530,958.74","289,087.00","71.02","United States","NYSE","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","20,508,454.56","0.05","20,508,454.56","32,912.00","623.13","United States","NYSE","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","20,380,093.47","0.05","20,380,093.47","466,257.00","43.71","United States","NYSE","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","20,326,113.58","0.05","20,326,113.58","153,683.00","132.26","United States","NASDAQ","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","20,280,165.36","0.05","20,280,165.36","524,849.00","38.64","United States","NYSE","USD","1.00","USD","-"
