fold,train_start,train_end,test_start,test_end,n_pairs,n_trades,total_return_pct,ann_return_pct,ann_vol_pct,sharpe,sortino,calmar,max_dd_pct,win_days_pct
1,2018-02-07,2020-02-07,2020-02-10,2021-02-08,5,11,2.81,2.82,2.28,1.237,1.45,3.776,-0.75,19.5
2,2019-02-08,2021-02-08,2021-02-09,2022-02-07,16,5,2.45,2.46,1.57,1.569,1.199,2.692,-0.91,11.2
3,2020-02-10,2022-02-07,2022-02-08,2023-02-08,27,16,-1.98,-1.98,4.06,-0.489,-0.321,-0.482,-4.12,22.7
4,2021-02-09,2023-02-08,2023-02-09,2024-02-09,11,5,0.21,0.21,0.87,0.24,0.223,0.315,-0.67,14.3
