date,n_pairs,pairs
2022-01-28,56,ESS/UDR|TFC/FITB|DHI/LEN|AEP/ETR|USB/COF|PEG/PPL|DUK/SO|AVB/MAA|ES/ETR|CB/AIG|SCHW/PNC|LEN/TOL|AXP/COF|ES/PPL|D/XEL|O/MAA|CVCO/SKY|DHI/TOL|SRE/PEG|TRV/MET|DHI/KBH|DHI/TPH|AVB/UDR|AEP/ES|O/WY|FTV/ITW|PNC/FITB|KBH/MHO|NVR/TOL|C/COF|USB/AXP|USB/PNC|ESS/MAA|PRU/AIG|ITW/GWW|FTV/AME|CVX/EOG|VICI/WY|O/UDR|SLB/DVN|CVX/COP|TRV/PRU|OXY/DVN|HAL/BKR|AFL/AIG|AIG/HIG|SLB/MPC|PH/FTV|T/VZ|KO/PEP|PRU/WRB|MET/WRB|XOM/VLO|FTV/XYL|ROK/FTV|EMR/XYL
2022-04-01,51,EQR/UDR|TFC/FITB|EQR/ESS|MET/L|LEN/TOL|AVB/MAA|DHI/TOL|ESS/UDR|XEL/WEC|PRU/L|XOM/VLO|PNC/TFC|SLB/MPC|USB/PNC|XOM/EOG|AFL/L|DHI/LEN|LEN/TPH|DHI/NVR|AEP/ETR|LEN/NVR|AIG/L|VLO/OXY|PHM/TOL|NVR/TOL|SCHW/FITB|EOG/VLO|BAC/WFC|FTV/XYL|PRU/HIG|AFL/AIG|ES/ETR|AVB/UDR|CB/AIG|DUK/PEG|TRV/L|GS/USB|D/WEC|XOM/MPC|O/AVB|EOG/MPC|MPC/OXY|WFC/AXP|MAA/UDR|PH/IR|WEC/ETR|JPM/GS|EQR/MAA|AEP/EXC|PH/AME|EMR/ETN
2022-06-03,45,AVB/MAA|XEL/WEC|DHI/LEN|SLB/MPC|EQR/UDR|XOM/EOG|SLB/EOG|USB/PNC|SCHW/FITB|KBH/MHO|NVR/TOL|DHI/TOL|XOM/MPC|D/WEC|EOG/MPC|ESS/UDR|AVB/UDR|ES/ETR|MS/PNC|EQR/ESS|SLB/PSX|NVR/TPH|SCHW/PNC|PRU/HIG|O/AVB|FTV/XYL|MPC/OXY|AEP/ETR|DHI/NVR|AFL/AIG|TRV/L|VLO/OXY|TRV/MET|AFL/L|ESS/MAA|EQR/MAA|CVCO/SKY|TRV/AFL|GS/COF|LEN/NVR|MET/HIG|GS/USB|AIG/HIG|BAC/MS|AXP/FITB
2022-08-05,34,LEN/TOL|XEL/WEC|AVB/MAA|AVB/UDR|SLB/EOG|ES/ETR|DHI/TOL|SCHW/FITB|MPC/OXY|XOM/MPC|D/XEL|NVR/TPH|MET/L|PRU/HIG|TOL/TPH|EOG/MPC|D/AEP|VLO/OXY|USB/COF|NVR/TOL|EOG/DVN|DHI/LEN|TRV/L|COP/DVN|EQR/UDR|MET/HIG|USB/PNC|PHM/TOL|TRV/CB|AEP/ETR|FTV/XYL|AIG/HIG|TRV/AIG|AXP/FITB
2022-10-07,36,XOM/MPC|AVB/MAA|COP/DVN|EQR/MAA|BAC/PNC|DHI/LEN|AME/ITW|SLB/EOG|WEC/ETR|PH/ITW|XEL/WEC|AEP/ETR|LEN/TOL|DHI/TOL|TRV/L|AME/DOV|PH/AME|NVR/TOL|SO/AEP|FTV/XYL|DUK/PEG|USB/COF|PSX/OXY|MPC/OXY|AIG/HIG|TRV/CB|PH/DOV|XEL/ETR|MET/HIG|PH/XYL|NVR/TPH|AXP/FITB|PRU/HIG|TRV/WRB|TMHC/SKY|TRV/AIG
2022-12-09,26,XEL/WEC|PH/ITW|XOM/MPC|BAC/PNC|SO/WEC|AME/ITW|DHI/LEN|WEC/ETR|EQR/AVB|PLD/MAA|USB/COF|PH/AME|AEP/WEC|EQR/UDR|AIG/HIG|AEP/ETR|LEN/NVR|MET/AFL|FTV/XYL|AEP/SRE|SO/AEP|NVR/TOL|PH/FTV|SLB/EOG|DUK/PEG|PH/XYL
2023-02-10,30,XOM/MPC|WEC/ETR|BAC/PNC|AIG/HIG|AME/ITW|PH/ITW|PNC/TFC|MET/AFL|FTV/XYL|PLD/MAA|DUK/ES|WFC/TFC|EQR/ESS|SO/AEP|XEL/WEC|WFC/C|AEP/ETR|CB/AIG|PRU/UNM|XEL/ETR|PEG/ES|NVR/TOL|NVR/TPH|DUK/PEG|USB/TFC|WFC/PNC|ETN/AME|WFC/USB|ETN/IR|IR/ITW
2023-04-14,29,PH/ITW|AEP/ETR|PNC/TFC|WEC/ETR|AME/ITW|EQR/ESS|FTV/XYL|KBH/TPH|AIG/HIG|WFC/FITB|XEL/WEC|ETN/IR|MS/BLK|XOM/MPC|SLB/PSX|AVB/ESS|CVX/EOG|PH/AME|AEP/SRE|USB/TFC|DUK/EXC|KBH/MHO|XEL/ETR|USB/PNC|LEN/NVR|ETN/PH|ETN/ITW|WFC/TFC|O/UDR
2023-06-16,37,AEP/XEL|KBH/TPH|AEP/ETR|CVX/EOG|WEC/ETR|XEL/WEC|PNC/TFC|XEL/ETR|XOM/PSX|MS/BLK|ETN/AME|MPC/PSX|NVR/KBH|IR/ITW|PH/ITW|AME/ITW|FTV/XYL|ETN/ITW|SLB/PSX|EQR/ESS|USB/TFC|ETN/PH|COP/EOG|TOL/KBH|XOM/MPC|NVR/TOL|PPL/EIX|IR/AME|AEP/SRE|WFC/FITB|O/UDR|BAC/PNC|NVR/TPH|NVR/MHO|CVX/VLO|COP/PSX|USB/PNC
2023-08-18,23,AEP/ETR|XEL/ETR|PNC/FITB|WEC/ETR|KBH/TPH|CVX/EOG|ETN/PH|COP/EOG|MS/BLK|IR/ITW|TMO/DHR|SLB/PSX|TFC/FITB|AEP/XEL|EQR/ESS|PHM/TMHC|AME/ITW|TOL/KBH|IR/AME|EXC/WEC|LEN/NVR|NVR/TPH|PPL/EIX
2023-10-20,33,DHI/LEN|PNC/FITB|PHM/MHO|XEL/ETR|AEP/ETR|KBH/TPH|COP/EOG|WEC/ETR|PHM/TMHC|PNC/TFC|MPC/PSX|AME/ITW|CB/AIG|IR/AME|PSA/MAA|XEL/WEC|AVB/ESS|SLB/PSX|ETN/PH|CB/HIG|TFC/FITB|NVR/KBH|IR/ITW|CVX/EOG|LEN/NVR|GS/MS|DUK/ETR|USB/FITB|CVX/VLO|LEN/TMHC|EOG/PSX|EXC/PEG|WFC/COF
2023-12-22,33,PHM/TOL|DHI/LEN|PNC/FITB|TOL/MHO|AEP/ES|AEP/ETR|WEC/ES|AEP/WEC|AEP/XEL|PH/IR|NVR/TMHC|SRE/ETR|COP/EOG|XEL/ETR|BAC/FITB|NVR/KBH|AVB/ESS|LEN/PHM|SRE/ES|CB/AIG|LEN/TMHC|MS/BLK|PHM/MHO|ETN/PH|ETN/IR|PNC/TFC|BAC/PNC|HAL/BKR|USB/FITB|ROK/AME|EOG/PSX|USB/PNC|OXY/DVN
2024-02-23,32,PNC/FITB|SRE/XEL|NVR/TMHC|SRE/ETR|PHM/MHO|WEC/ES|SRE/ES|AEP/ES|BAC/FITB|OXY/DVN|ETN/IR|AVB/ESS|DHI/LEN|AEP/SRE|CVX/SLB|AEP/XEL|CVX/HAL|PH/IR|PHM/KBH|BAC/PNC|PHM/TOL|AME/ITW|CVX/DVN|CVX/EOG|SO/D|KBH/MHO|ETN/PH|USB/PNC|MS/BLK|BAC/USB|XOM/SLB|BAC/TFC
2024-04-26,25,PNC/FITB|PHM/KBH|WEC/ES|OXY/DVN|SRE/ES|COP/EOG|AVB/ESS|SRE/XEL|LEN/NVR|ETN/IR|OXY/HAL|SRE/WEC|BAC/FITB|SO/PEG|NVR/TMHC|XEL/WEC|SRE/EIX|CVCO/SKY|PH/IR|SRE/ETR|CB/AIG|EOG/HAL|AME/ITW|MS/BLK|XOM/HAL
2024-06-28,21,COP/EOG|OXY/DVN|PHM/KBH|WEC/ES|LEN/PHM|LEN/NVR|NVR/KBH|TPH/TMHC|AVB/ESS|LEN/TOL|SRE/ETR|LEN/KBH|ETN/IR|ETR/PPL|SRE/ES|OXY/HAL|XEL/WEC|SLB/HAL|SO/PEG|AEP/SRE|MPC/PSX
2024-08-30,17,PNC/FITB|SRE/PPL|SO/PEG|NVR/KBH|AVB/ESS|ETR/PPL|SRE/ETR|TPH/TMHC|CVX/OXY|AEP/SRE|SLB/HAL|ETN/IR|DHI/KBH|CVX/DVN|TMHC/CVCO|TOL/CVCO|D/PPL
2024-11-01,11,PNC/FITB|OXY/HAL|SRE/PPL|PHM/KBH|CVX/DVN|AEP/PPL|PRU/AIG|DHI/KBH|AEP/SRE|SO/EIX|BAC/C
