sector,pair,ticker_y,ticker_x,score,coint_pvalue,half_life,hedge_ratio,hurst_exp,correlation,spread_std
Communication,LBRDK/LBRDA,LBRDK,LBRDA,0.8493,0.0002,16.6,1.0218,0.358,0.992,0.0095
Consumer Discretionary,DHI/LEN,DHI,LEN,0.8188,0.0006,26.3,1.0984,0.301,0.905,0.0545
Materials,VMC/MLM,VMC,MLM,0.8099,0.0034,20.1,0.7891,0.31,0.895,0.0345
Financials,BAC/PNC,BAC,PNC,0.7714,0.0008,23.3,0.9443,0.383,0.862,0.0439
Information Technology,CDNS/SNPS,CDNS,SNPS,0.7047,0.0083,35.2,1.0352,0.364,0.878,0.0524
Financials,KEY/ZION,KEY,ZION,0.6937,0.0174,25.2,0.9346,0.406,0.854,0.0627
Real Estate,PLD/FR,PLD,FR,0.6755,0.0107,37.1,1.1952,0.351,0.852,0.0518
Financials,PNC/FITB,PNC,FITB,0.6555,0.0355,33.8,0.7653,0.3,0.885,0.0473
Real Estate,EGP/FR,EGP,FR,0.6371,0.0162,40.5,1.1385,0.391,0.893,0.0471
Real Estate,CUZ/HIW,CUZ,HIW,0.6134,0.0395,33.3,0.8345,0.394,0.892,0.0456
Real Estate,EQR/ESS,EQR,ESS,0.5255,0.0378,50.3,0.919,0.358,0.909,0.0437
